gene,n_runs,mean_nom_rank,nom_frequency,dominant_modality,dominant_confidence
PDGFRA,100,1.087378640776699,1.0,inhibit,high
MET,100,2.0792079207920793,1.0,inhibit,high
CDK2,100,3.0,1.0,inhibit,medium
CDK7,100,5.55,1.0,inhibit,medium
TEAD1,100,5.752475247524752,1.0,inhibit,medium
ELAVL1,100,10.9,1.0,inhibit,low
KIF18A,99,6.565656565656566,0.99,inhibit,medium
VRK1,99,8.090909090909092,0.99,inhibit,medium
EGLN1,99,9.555555555555555,0.99,inhibit,low
KIF2C,87,9.229885057471265,0.87,inhibit,low
E2F3,62,13.709677419354838,0.62,degrade,low
PTPN11,59,11.084745762711865,0.59,inhibit,medium
ITGB5,52,9.365384615384615,0.52,inhibit,low
FGFR1,50,12.2,0.5,inhibit,low
PTK2,48,11.0,0.48,inhibit,low
KIF18B,47,10.553191489361701,0.47,inhibit,low
WDR77,41,13.365853658536585,0.41,inhibit,low
GPX4,38,12.026315789473685,0.38,inhibit,low
CDC25B,37,13.027027027027026,0.37,inhibit,low
ITGAV,31,7.032258064516129,0.31,inhibit,medium
WWTR1,20,14.05,0.2,inhibit,low
ERCC6L,6,13.0,0.06,inhibit,low
UBE2C,4,14.5,0.04,inhibit,low
UBA5,4,14.75,0.04,inhibit,low
C3orf38,2,13.0,0.02,unknown,low
GPR61,2,14.0,0.02,unknown,low
JUN,1,13.0,0.01,degrade,low
MLST8,1,15.0,0.01,inhibit,low
OSBP,1,15.0,0.01,inhibit,low
TOP1,1,15.0,0.01,inhibit,low
TSEN34,1,15.0,0.01,inhibit,low
