ModelID,KIF2C_ge,CDKN2A,CDKN2B,MTAP,CDKN2A_del,CDKN2B_del,MTAP_del,subtype,IDH_mut
ACH-000244,-1.0965471211109363,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000067,-1.0257483164301826,0.0,0.0,0.0,True,True,True,Oligodendroglioma,False
ACH-002680,-0.9613259695482383,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-001172,-0.8586620598966443,0.0,2.0,0.0,True,False,True,Astrocytoma,False
ACH-000623,-0.8323886631478497,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000634,-0.8026444005373781,0.0,0.75,0.25,True,False,True,Glioblastoma,False
ACH-000887,-0.7746629205617243,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000200,-0.7579168056110008,0.0,2.0,0.0,True,False,True,Glioblastoma,False
ACH-000040,-0.7309265236102471,0.0,0.0,0.0,True,True,True,Astrocytoma,False
ACH-000329,-0.7236768738851782,1.0,1.0,1.0,False,False,False,Astrocytoma,False
ACH-001329,-0.6992064554850033,0.0,0.5,0.0,True,False,True,Glioblastoma,False
ACH-000469,-0.6829351355857372,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-001609,-0.650404550201456,0.5,0.5,1.0,False,False,False,Glioblastoma,False
ACH-001622,-0.623931231374094,0.0,2.0,0.0,True,False,True,Glioblastoma,False
ACH-001608,-0.6053146987855486,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000609,-0.5870095629650283,0.0,0.5,0.0,True,False,True,Glioblastoma,False
ACH-001623,-0.584839695182833,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-001624,-0.583632592384457,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-002229,-0.5820307142824253,0.0,1.0,0.0,True,False,True,Glioblastoma,False
ACH-000445,-0.5377579567942712,,,,False,False,False,Glioblastoma,False
ACH-001611,-0.5371817601473248,2.0,2.0,2.0,False,False,False,Glioblastoma,False
ACH-001610,-0.5301736751768211,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000673,-0.5234140055870442,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000631,-0.5089078806506828,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000592,-0.4965055745384216,1.0,1.0,1.0,False,False,False,Astrocytoma,False
ACH-000075,-0.492460441697483,,,,False,False,False,Glioblastoma,False
ACH-000479,-0.4891177158036638,,,,False,False,False,Glioblastoma,False
ACH-001606,-0.4811403154515759,3.0,3.0,3.0,False,False,False,Glioblastoma,False
ACH-002806,-0.4607338049885832,2.0,2.0,2.0,False,False,False,Anaplastic Astrocytoma,True
ACH-000464,-0.4556758339138775,0.0,0.5,0.0,True,False,True,Glioblastoma,False
ACH-000437,-0.4549259675790403,0.0,0.0,0.0,True,True,True,Astrocytoma,False
ACH-000098,-0.4425013954935002,0.0,1.0,0.0,True,False,True,Glioblastoma,False
ACH-001605,-0.4307432675153507,4.0,4.0,4.0,False,False,False,Glioblastoma,False
ACH-000215,-0.4288141781950935,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000595,-0.4169802978323302,0.0,2.5,0.0,True,False,True,Glioblastoma,False
ACH-000376,-0.395638170817268,0.0,0.5,0.0,True,False,True,Glioblastoma,False
ACH-000232,-0.3944942363362484,0.0,0.75,0.0,True,False,True,Astrocytoma,False
ACH-000760,-0.3922165430820601,,,,False,False,False,Glioblastoma,False
ACH-000676,-0.3881277892585361,2.0,2.0,2.0,False,False,False,Glioblastoma,False
ACH-002681,-0.3841005555934665,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-002304,-0.3767607748543755,0.0,1.0,0.0,True,False,True,Astrocytoma,False
ACH-000622,-0.3674434342405177,2.0,2.0,2.0,False,False,False,Glioblastoma,False
ACH-000455,-0.3658921900099792,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000036,-0.3604833509100066,0.0,2.0,0.0,True,False,True,Glioblastoma,False
ACH-002228,-0.358458221467877,3.0,3.0,3.0,False,False,False,Glioblastoma,False
ACH-000273,-0.3568017239859398,3.0,3.0,3.0,False,False,False,Gliosarcoma,False
ACH-000368,-0.3515005295474531,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000389,-0.3476228775102625,0.0,0.0,0.0,True,True,True,Astrocytoma,False
ACH-000819,-0.3327877973543011,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000655,-0.327358184939253,0.0,0.0,0.0,True,True,True,Astrocytoma,False
ACH-000231,-0.3109880100711809,4.0,4.0,4.0,False,False,False,Glioblastoma,False
ACH-000570,-0.2928096842870612,0.0,0.3333333333333333,0.0,True,True,True,Glioblastoma,False
ACH-000208,-0.2857679834979794,0.0,2.0,0.0,True,False,True,Astrocytoma,False
ACH-000738,-0.2818402829896909,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000807,-0.2775981817589647,0.5,0.0,1.0,False,True,False,Oligodendroglioma,False
ACH-001016,-0.2730185598198723,0.0,2.0,2.0,True,False,False,Astrocytoma,False
ACH-000571,-0.2676521588246037,,,,False,False,False,Glioblastoma,False
ACH-000756,-0.2657888545669896,4.0,4.0,4.0,False,False,False,Gliosarcoma,False
ACH-000128,-0.2609246907117512,5.0,5.0,5.0,False,False,False,Astrocytoma,False
ACH-002230,-0.2572217367942485,,,,False,False,False,Glioblastoma,False
ACH-000269,-0.2372186536055818,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000863,-0.2361303693958292,0.0,1.5,0.0,True,False,True,Glioblastoma,False
ACH-000591,-0.2307147103895314,3.0,3.0,3.0,False,False,False,Astrocytoma,False
ACH-001126,-0.219761422340285,2.0,2.0,2.0,False,False,False,Anaplastic Astrocytoma,False
ACH-002269,-0.2006022244283519,4.0,4.0,4.0,False,False,False,Astrocytoma,False
ACH-000558,-0.1988934653871785,0.0164281843501645,0.0082140921750822,0.0082140921750822,True,True,True,Glioblastoma,False
ACH-000137,-0.1976287502560679,2.0,2.0,2.0,False,False,False,Glioblastoma,False
ACH-000152,-0.1865305202660987,4.0,4.0,4.0,False,False,False,Glioblastoma,False
ACH-000323,-0.139112878432399,0.0,0.0,0.0,True,True,True,Glioblastoma,False
ACH-000504,-0.0538061556957394,3.0,3.0,3.0,False,False,False,Glioblastoma,False
ACH-002257,-0.0121354086138719,0.0,0.0,0.0,True,True,True,Anaplastic Astrocytoma,False
ACH-000370,-0.0031420290429395,4.0,4.0,4.0,False,False,False,Glioblastoma,False
